"","Post_Ques","Post_Ans","Average_Severity"
"354","have you ever went to someones page amp seen them asking theirselves questions  but when you ask them about it  they deny it ive seen it ","yea that is sooo stupid",0
"355","heey how many other formsprings do u have like  damn get a life","you care why",1
"356","hello","hey",0
"357","heres a cookie eat it  d","yay nom nom",0
"358","hey  its your cousin again  when are you coming to visit us im gonna make a formspring ","idk",0
"359","hey everyone  this is the girl that fakes ta","k",1
"360","hey im ashlee im tired of everyone commenting on my damn formspring talking shit","",0
"361","hey im ashlee im tired of everyone commenting on my damn formspring talking shit","",0
"362","hey why dont you go kill yourself alot of ppl would be really happy ","why would i wanna do that",1
"363","heyyy  your an ugly fucking bitch  you think your sexy haha  you aint shit besides an ugly bitch amp beware of what ill fucking put your shit on blast fucking stupid ass cunt fuck off  amp stop hatein on peoples pages before i go off on your ugly ass","please bitch what are you going to do nothing if i were i would get a life",1
"364","hi asslee asshole d","hi anonymous",1
"365","hi you smelly rotten poo you smell like pigs vomit did you just go to the toilet i wondered what that smell was  you missed the toilet and it fell on your ugly clothes  are you poor you stink like hamster poo id love to ram a metal pole up your ass","id love to see you get hit by a car ",1
"366","hi youre ashlee and youre not  and youre ugly as hell so beware bye ","if i were you i wouldnt be talking beth ",1
"367","hi","hey",0
"368","hi","hey ",0
"369","hmm  what questionss inbox me some ideas ","sure",0
"370","how are you","great you",0
"371","how is your mom","great  yours",0
"372","how many siblings do you have","",0
"373","how many silly bands do you own ","none",0
"374","how much do you have sex","what type of question is that sicko",1
"375","how often do you go to the salon and get something done to your hair","like twice a month",0
"376","how old are you","does it matter",0
"377","httpfilesformspringmeprofilebeacathumbjpg","stalkerrrr",0
"378","i dont know you  and ive never said ur ugly please dot comment on my looks","learn how to spell ",1
"379","i dont know you  but you seem like a bitch","im not",1
"380","i found you on jensens thingie i cant really see your picture but i guess your cute","on what thanks ",0
"381","i hate when formspring messes up  dont you  ","sometimes",0
"382","i hate when people are mad at for no reason at allwhat about you","i dislike that",0
"383","i hope your asswhole gets sniffed by aids","hope you get aids ",1
"384","i know  theyre amazing the singer jeremy mckinnon is soooooo funny  he loved giving me high fives my shirt is so cool too its with a fat guy on it lol do you know the band august burns red","dude like i said your so lucky no",0
"385","i like how everyone writes you just to insult you seriously  all your questions are dissing you hahah","are you sure im not dissing you",1
"386","i like yur bg","thanks",0
"387","i love adtr vvv theyre my fav i know every song by heart","serious they are a good band d",0
"388","i never said that im  or that im sexy dumbasssssss","are you sure bitch",1
"389","i really wanna take you downn   its a song  lmfaoo ","lmfao i thought something else",0
"390","i swear to fucking god bitch i hate you so much you think you can add people and just talk shit on there pages haha  naaa yuuu must got us fucked up im going to hunt your ass down and beat the shit out of youu with my own to hands kbitchhhh","lame ass joke you cant do shit",1
"391","im not a creepy stalker just everyone fucking hates you so everyone knows what you fucking do you remind me of harmony flashpink but uglier and alittle more pathetic everyone knows you fake yourself and other girls  and you want attention dumbfuck","i dont fake myself",1
"392","im not fake r sorry","liar",1
"393","if you had to perform at the circus  what trick would you do","idk",0
"394","if your going to be rude amp give smart ass answers we will unfollow you ","okay",1
"395","im a big fan of betty and u is ugler than her so fuck up bitch u ugly shit head","oh wow should i care",1
"396","im bored","same here ",0
"397","is there anyone you wish you never met ","no",0
"398","its your cousin again lol  why is everyone saying your fake","they are stupid",1
"399","its cool how you swear when your only  ","i know",0
"400","lala","lololol",0
"401","learn how to spell learn how to tell apart a typo from a spelling error   and learn how to be a proper fake","you learn to keep your damn mouth shut",1
"402","lmfao  youre fucking creepy amp must have no friends nor life  if you have to create muliple formsprings of yourself  saying theyre fakes quit thinking everyone wants to be you  amp they copy you no one would fake you im sorry your such a pathetic poser","your the one who is creepy stalker",1
"403","lyrics for you should have killed me when you had the chance adtr","so i say goodbye to a town that has ears and eyes i can hear you whispering as i walk by familiar faces smiling back at me and i knew this would make them change  the only thing thats going to bother me is that youll all call yourselves my friends  why cant you look me in the eyes one last time  the writings on the wall  youve read that ill be gone  but if you call my name just know that ill come running  for one more night to spare with you this is where im meant to be  please dont leave me  iuve read these stories a thousand times  and now iull rewrite them all youure meddling in an anger you canut control she means the world to me  so hold your serpent tongue is a whores lies worth dying for ill just take my time  the only thing thats going to bother me is that youll all call yourselves my friends  why cant you look me in the eyes one last time  the writings on the wall  youve read that ill be gone  but if you call my name just know that ill come running  for one more night to spare with you this is where im meant to be  please dont leave me  i walked into your house this morning i brought the gun from our end table your blood was strewn across the walls theyll find you on your bathroom floor  i walked into your house this morning i brought the gun from our end table your blood was strewn across the walls theyll find you on your bathroom floor when im done  but should i write it all off but should i write it all off but should i write it all off you should have killed me when you had the chance but should i  you should have killed me when you had the chance you should have killed me when you had the chance you should have killed me when you had the chance",0
"404","me pathetic your the one who started the shit","so",1
"405","no body likes yuuuuuuu","like i care",1
"406","no honestly your really immature ","your the one",1
"407","nom nom","yum yum",0
"408","nope i actually have a life coughcough unlike you  the lonely pathetic ugly lowlife manwoman whos life events are staying on formspring creating fakes and starting shit seriously  im not the bitch  you are end of story kcoolbye","i have a life show your face anonymous",1
"409","obese","not close to obese",0
"410","oh god not you again","same here",0
"411","oh well  i met abr too the singer is the shit  hes a beast","lucky pringle pop",0
"412","ohh look the girl who fakes herself","i only faked myself once",1
"413","ok bitch wanna get started on me  ok one faggot is an over used term that people try to use on me to get me to feel bad twoyour nothing but alowlife bitch who gets the kicks out of starting shit with people dont comestarting shit on my formspring","well i want to bitch",1
"414","okae then bitch you dont got any quick comebacks now do you you fucking fake","wow pathetic much",1
"415","online ","p",0
"416","pretty gurrrl","haha thanks ",0
"417","relation to miley cyrus","what",0
"418","slut leave betty alone cunt face","she is the slut",1
"419","sooo you have sex alot","df no",1
"420","stay off of my formspring i dont even know who you are","why should i",1
"421","stfu you hoe you piece of shiit","wow i feel insulted",1
"422","stop annoying betty btw youre  a really sad little girlboy  you think ur all grown up now using big words  stupid child  living a fake life behind a damn keyboard and a screen how more pathetic can you be ","girl im not fake hun",1
"423","stop leaving stuff like quotfakequot on your own formsrping dead give away dumbass suck a cunt","what are you talking about",1
"424","stop making fakes of yourself you are ugly as fuck youre not actually  bitch and youre deff not a cyrus get a mother fucking life  cunt","i dont make fakes of myself person so get your fakes straight js",1
"425","sure  but you must spamr httpwwwformspringmeddoxr ampr httpwwwformspringmejuliexr or we wont continue spamming your ","okay sure will",0
"426","thats all i can think of right now  gimme ideas amp i will ask more stuff  ","sure will",0
"427","u know u care that betty is way better looking than u","she is fugly",1
